artist,name,id,url,date_added
Rochak Kohli,Yahin Hoon Main,30UWFQsrAfkzcsRWaiNLtU,https://i.scdn.co/image/ab67616d00001e02dc9b7cbb066ba58df1e08a37,2020-05-06 07:30:51+00:00
Pritam,Khairiyat (Bonus Track),3oM90C4SZLYzVZJEZD5EQk,https://i.scdn.co/image/ab67616d00001e02eaa6b4bfb5954ee5a5a8ce9e,2020-05-02 20:53:41+00:00
Atif Aslam,Pehli Dafa,4Tkb7zsDmsawB7S5TpKQV1,https://i.scdn.co/image/ab67616d00001e02afd2bc3f876235be94c0d36d,2020-05-01 01:06:57+00:00
Sachin-Jigar,Saibo,6udC4b4jOSnHb9ItnXgKLR,https://i.scdn.co/image/ab67616d00001e021aac2079e5047e1bfd1b59d9,2020-04-28 00:14:46+00:00
Vishal Mishra,Manjha,0UZLaEOSIc5kg0cc7eszqC,https://i.scdn.co/image/ab67616d00001e02dea88e870d30a4da51065bf5,2020-04-26 22:03:31+00:00
Harshit Saxena,Hale Dil,6GQK4G5o60E8YA18DGpAzv,https://i.scdn.co/image/ab67616d00001e022432edc97b465e6db54d356b,2020-04-26 22:03:16+00:00
Pritam,Zara Sa,18YHbIhrleUkKKj2DvEp79,https://i.scdn.co/image/ab67616d00001e02727d531901c07a499498c544,2020-04-26 22:02:12+00:00
KK,Dil Kyun Yeh Mera,5nHwX7e5XHnie22nuTFgda,https://i.scdn.co/image/ab67616d00001e02ae319e2da9a2e81dfe888409,2020-04-26 22:02:03+00:00
,,6nZiYSBwPQ7fYnVWkkkj4g,,2020-04-26 22:01:55+00:00
Mohit Chauhan,"Kyun Dil Mera - From ""Paharganj""",2GlZQur8CHidODl6OgMO3z,https://i.scdn.co/image/ab67616d00001e02666a45a568da9b949916a3d1,2020-04-26 22:01:46+00:00
Armaan Malik,"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",6tkl6rjuXWtVOCaXSSSCz2,https://i.scdn.co/image/ab67616d00001e02f4e88554baba207fc6878ab5,2020-04-26 22:01:24+00:00
Rahat Fateh Ali Khan,"Tere Bin (From ""Simmba"")",4f5kLqyOJ5ZPnalEVMQrB2,https://i.scdn.co/image/ab67616d00001e02a44243531404997d687bb415,2020-04-26 22:01:15+00:00
